/* DATA DESCRIPTION:
Citation:	Martos, Yasmina M (2018): Greenland geothermal heat flux distribution and estimated Curie Depths, links to gridded files. PANGAEA, https://doi.org/10.1594/PANGAEA.892973, 
	Supplement to: Martos, Yasmina M; Jordan, Tom A; Catalan, Manuel; Jordan, Thomas M; Bamber, Jonathan L; Vaughan, David G (2018): Geothermal heat flux reveals the Iceland hotspot track underneath Greenland. Geophysical Research Letters, 45(16), 8214-8222, https://doi.org/10.1029/2018GL078289
Abstract:	Curie depths beneath Greenland are revealed by spectral analysis of data from the World Digital Magnetic Anomaly Map2. A thermal model of the lithosphere then provides a corresponding geothermal heat flux map. This new map exhibits significantly higher frequency but lower amplitude variation than earlier heat flux maps, and provides an important boundary condition for numerical ice-sheet models and interpretation of borehole temperature profiles. In addition, it reveals new geologically significant features. Notably, we identify a prominent quasi-linear elevated geothermal heat flux anomaly running northwest-southeast across Greenland. We interpret this feature to be the relic of the passage of the Iceland hotspot from 80 to 50 Ma. The expected partial melting of the lithosphere and magmatic underplating or intrusion into the lower crust is compatible with models of observed satellite gravity data and recent seismic observations. Our geological interpretation has potentially significant implications for the geodynamic evolution of Greenland.
Coverage:	MEDIAN LATITUDE: 72.000000 * MEDIAN LONGITUDE: -40.000000 * SOUTH-BOUND LATITUDE: 60.000000 * WEST-BOUND LONGITUDE: -65.000000 * NORTH-BOUND LATITUDE: 84.000000 * EAST-BOUND LONGITUDE: -15.000000
Event(s):	Greenland * LATITUDE START: 84.000000 * LONGITUDE START: -65.000000 * LATITUDE END: 60.000000 * LONGITUDE END: -15.000000 * LOCATION: Greenland
Comment:	Gridded data at 15 km. X and Y geographic coordinates are in UTM23N projection.
Parameter(s):	File content (Content) * PI: Martos, Yasmina M (yasmartos@gmail.com)
	File name (File name) * PI: Martos, Yasmina M (yasmartos@gmail.com)
	File format (File format) * PI: Martos, Yasmina M (yasmartos@gmail.com)
	File size [kByte] (File size) * PI: Martos, Yasmina M (yasmartos@gmail.com)
	Uniform resource locator/link to file (URL file) * PI: Martos, Yasmina M (yasmartos@gmail.com)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	20 data points
*/
Content	File name	File format	File size [kByte]	URL file
Estimated Curie Depths (positive downwards). X, Y coordinates, Z is the Curie Depth in km	Curie_Depth_Greenland.xyz	XYZ	231.480	http://store.pangaea.de/Publications/Martos-etal_2018/Curie_Depth_Greenland.xyz
Curie Depth uncertainty. X, Y coordinates, Z is Curie Depth uncertainty in km	Curie_Depth_Greenland_uncertainty.xyz	XYZ	221.017	http://store.pangaea.de/Publications/Martos-etal_2018/Curie_Depth_Greenland_uncertainty.xyz
Greenland geothermal heat flux distribution. X, Y coordinates, Z is the geothermal heat flux in mW/m-2	Geothermal_Heat_Flux_Greenland.xyz	XYZ	231.480	http://store.pangaea.de/Publications/Martos-etal_2018/Geothermal_Heat_Flux_Greenland.xyz
Uncertainty of the Greenland geothermal heat flux distribution. X, Y coordinates, Z is the geothermal heat flux uncertainty in mW/m-2	Geothermal_Heat_Flux_Greenland_uncertainty.xyz	XYZ	231.480	http://store.pangaea.de/Publications/Martos-etal_2018/Geothermal_Heat_Flux_Greenland_uncertainty.xyz
